instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.05,anomaly_0.05,anomaly_score_0.1,anomaly_0.1,anomaly_score_0.15,anomaly_0.15,anomaly_score_0.2,anomaly_0.2,anomaly_score_0.25,anomaly_0.25,anomaly_score_0.3,anomaly_0.3,anomaly_score_0.35,anomaly_0.35,label,dominant_node
24,3,0.0004551661356395084,4873,0.7393415263237748,6591,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
25,2,0.00048426150121065375,3022,0.7317191283292979,4130,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
26,2,0.00026164311878597594,5712,0.7472527472527473,7644,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
27,2,0.0002619515389652914,5672,0.7428945645055665,7635,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
28,3,0.00038226299694189603,5913,0.7534403669724771,7848,1.0,0.12558915142794996,1,0.08016432133426682,1,0.0533644882208148,1,0.031886082816000194,1,0.021593984244742848,1,0.02025093114033122,1,0.016831491945541732,1,1,"""MCDData"".""GetBox_signal"""
29,2,0.00026229508196721314,5742,0.7530491803278688,7625,1.0,0.08536384614768378,1,0.03993901605400063,1,0.01313918294054861,1,-0.008339222464265994,-1,-0.01863132103552334,-1,-0.01997437413993497,-1,-0.023393813334724456,-1,1,"""MCDData"".""GetBox_signal"""
30,4,0.0005501306560308073,5424,0.7459771695777747,7271,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
31,4,0.0007292616226071103,4094,0.7463992707383774,5485,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
32,8,0.0011304224954076585,5328,0.7528613819415007,7077,1.0,0.06474220963600141,1,0.01931737954231827,1,-0.007482453571133751,-1,-0.028960858975948356,-1,-0.0392529575472057,-1,-0.04059601065161733,-1,-0.04401544984640682,-1,1,"""MCDData"".""Gripper_Z_Speed"""
33,13,0.0016474464579901153,5933,0.7518692180965657,7891,1.0,0.0356123938012477,1,-0.009812436292435445,-1,-0.036612269405887465,-1,-0.05809067481070207,-1,-0.06838277338195942,-1,-0.06972582648637105,-1,-0.07314526568116053,-1,1,"""MCDData"".""Gripper_Z_Speed"""
34,17,0.0022546419098143236,5647,0.7489389920424403,7540,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
35,6,0.0007531065645788879,5956,0.7475837831053094,7967,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
